circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:179335506|179343635	chr1	179335506	179343635	7	1_0_2	37	0.275	exon	uc001gml.4,uc001gmm.4,uc010pni.3,	+	ST-E00206:201:H5L57ALXX:4:1117:19666:39001,ST-E00206:209:H5CCCALXX:5:2109:6531:33727,ST-E00206:201:H5L57ALXX:4:2211:13383:20559,ST-E00206:201:H5L57ALXX:4:2217:2664:51395,ST-E00206:209:H5CCCALXX:5:2205:30465:32567,ST-E00206:209:H5CCCALXX:5:2224:21655:64352,ST-E00206:209:H5CCCALXX:5:2224:19574:60115,
chr1:179337837|179341310	chr1	179337837	179341310	5	0_1_4	33	0.233	exon	uc001gml.4,uc010pni.3,uc001gmm.4,uc057npn.1,	+	ST-E00206:201:H5L57ALXX:4:2103:22974:68852,ST-E00206:201:H5L57ALXX:4:2120:10541:5932,ST-E00206:209:H5CCCALXX:5:2118:3953:38263,ST-E00206:201:H5L57ALXX:4:2213:4359:56687,ST-E00206:209:H5CCCALXX:5:1216:14814:14424,
chr1:179337837|179342943	chr1	179337837	179342943	10	1_2_4	30	0.400	exon	uc001gml.4,uc010pni.3,uc001gmm.4,	+	ST-E00206:201:H5L57ALXX:4:1214:12784:5458,ST-E00206:201:H5L57ALXX:4:1214:13596:5739,ST-E00206:201:H5L57ALXX:4:1214:13616:5739,ST-E00206:209:H5CCCALXX:5:2121:24466:23161,ST-E00206:209:H5CCCALXX:5:2115:12560:9888,ST-E00206:201:H5L57ALXX:4:2206:9972:5405,ST-E00206:209:H5CCCALXX:5:1103:6491:35872,ST-E00206:209:H5CCCALXX:5:1119:30353:15988,ST-E00206:209:H5CCCALXX:5:1203:3304:41919,ST-E00206:209:H5CCCALXX:5:1101:21533:17905,
chr1:179347600|179350431	chr1	179347600	179350431	6	1_3_2	25	0.324	exon	uc010pni.3,uc001gmm.4,uc001gml.4,	+	ST-E00206:209:H5CCCALXX:5:2117:8967:28136,ST-E00206:209:H5CCCALXX:5:2217:8785:56546,ST-E00206:201:H5L57ALXX:4:2113:29511:38895,ST-E00206:201:H5L57ALXX:4:2113:28861:39106,ST-E00206:209:H5CCCALXX:5:2213:7963:44855,ST-E00206:209:H5CCCALXX:5:2117:8866:28066,
chr1:179900126|179908673	chr1	179900126	179908673	14	0_1_3	37	0.431	exon	uc001gnp.3,uc057nqo.1,uc057nqq.1,uc057nqn.1,uc001gnq.5,uc057nqt.1,	+	ST-E00206:201:H5L57ALXX:4:1108:30090:67674,ST-E00206:201:H5L57ALXX:4:2110:15291:25552,ST-E00206:201:H5L57ALXX:4:2117:26162:12138,ST-E00206:201:H5L57ALXX:4:2119:27654:61064,ST-E00206:201:H5L57ALXX:4:2213:11931:62699,ST-E00206:209:H5CCCALXX:5:1123:16083:55579,ST-E00206:209:H5CCCALXX:5:2222:12855:21860,ST-E00206:201:H5L57ALXX:4:1211:6521:42464,ST-E00206:209:H5CCCALXX:5:2207:28354:22440,ST-E00206:209:H5CCCALXX:5:1222:30130:63244,ST-E00206:209:H5CCCALXX:5:2102:19615:11910,ST-E00206:209:H5CCCALXX:5:2207:29267:17447,ST-E00206:209:H5CCCALXX:5:2102:19625:11892,ST-E00206:209:H5CCCALXX:5:2207:29440:17324,
chr1:179986169|179997175	chr1	179986169	179997175	6	0_3_2	20	0.375	exon	uc001gnt.4,	+	ST-E00206:201:H5L57ALXX:4:2115:11637:40847,ST-E00206:201:H5L57ALXX:4:2122:12652:35749,ST-E00206:201:H5L57ALXX:4:2215:19463:39423,ST-E00206:201:H5L57ALXX:4:1102:13707:38913,ST-E00206:209:H5CCCALXX:5:1221:24081:54173,ST-E00206:209:H5CCCALXX:5:1221:24274:53522,
chr1:179986169|180006567	chr1	179986169	180006567	9	1_3_2	12	0.600	exon	uc001gnt.4,	+	ST-E00206:209:H5CCCALXX:5:2207:24903:42271,ST-E00206:201:H5L57ALXX:4:2218:27522:49233,ST-E00206:209:H5CCCALXX:5:1120:6379:25517,ST-E00206:209:H5CCCALXX:5:1122:25248:40759,ST-E00206:209:H5CCCALXX:5:1215:5324:24181,ST-E00206:209:H5CCCALXX:5:1215:5527:25200,ST-E00206:201:H5L57ALXX:4:2119:28669:48688,ST-E00206:201:H5L57ALXX:4:2223:16052:51448,ST-E00206:201:H5L57ALXX:4:2223:16113:51553,
chr1:179996553|179997175	chr1	179996553	179997175	11	3_3_0	39	0.361	exon	uc001gnt.4,	+	ST-E00206:209:H5CCCALXX:5:2223:4867:68536,ST-E00206:201:H5L57ALXX:4:1211:6014:3366,ST-E00206:201:H5L57ALXX:4:1212:30110:50375,ST-E00206:201:H5L57ALXX:4:1224:28049:49092,ST-E00206:201:H5L57ALXX:4:2118:8632:38667,ST-E00206:209:H5CCCALXX:5:2222:17940:37946,ST-E00206:201:H5L57ALXX:4:2202:26994:25464,ST-E00206:209:H5CCCALXX:5:1111:19970:71278,ST-E00206:209:H5CCCALXX:5:1211:3476:1748,ST-E00206:209:H5CCCALXX:5:1211:3892:2188,ST-E00206:209:H5CCCALXX:5:1211:3395:9870,
chr1:180003174|180006567	chr1	180003174	180006567	41	12_13_4	29	0.739	exon	uc001gnt.4,	+	ST-E00206:201:H5L57ALXX:4:1104:3253:9905,ST-E00206:209:H5CCCALXX:5:2111:3588:44064,ST-E00206:201:H5L57ALXX:4:1110:19706:11470,ST-E00206:201:H5L57ALXX:4:1112:25025:22405,ST-E00206:201:H5L57ALXX:4:1113:28811:16867,ST-E00206:201:H5L57ALXX:4:1113:29572:16955,ST-E00206:201:H5L57ALXX:4:1113:29034:17606,ST-E00206:201:H5L57ALXX:4:1120:16549:68870,ST-E00206:201:H5L57ALXX:4:1205:31135:45611,ST-E00206:201:H5L57ALXX:4:1214:22030:23020,ST-E00206:201:H5L57ALXX:4:1219:5070:67727,ST-E00206:201:H5L57ALXX:4:2109:17757:26097,ST-E00206:201:H5L57ALXX:4:2109:24111:26484,ST-E00206:209:H5CCCALXX:5:2106:29399:42746,ST-E00206:201:H5L57ALXX:4:2211:18265:20225,ST-E00206:201:H5L57ALXX:4:2215:9140:54735,ST-E00206:201:H5L57ALXX:4:2219:27116:6407,ST-E00206:209:H5CCCALXX:5:2106:19067:37753,ST-E00206:209:H5CCCALXX:5:1106:16509:45347,ST-E00206:209:H5CCCALXX:5:1220:5435:29683,ST-E00206:209:H5CCCALXX:5:1109:13718:68887,ST-E00206:209:H5CCCALXX:5:1117:27014:63965,ST-E00206:209:H5CCCALXX:5:1117:27623:63965,ST-E00206:209:H5CCCALXX:5:1120:2948:70839,ST-E00206:209:H5CCCALXX:5:1122:17433:13791,ST-E00206:209:H5CCCALXX:5:1122:24172:32215,ST-E00206:209:H5CCCALXX:5:1220:26669:56265,ST-E00206:209:H5CCCALXX:5:1202:2319:19364,ST-E00206:209:H5CCCALXX:5:1202:4786:22616,ST-E00206:209:H5CCCALXX:5:1220:26720:56177,ST-E00206:209:H5CCCALXX:5:2122:6257:26466,ST-E00206:201:H5L57ALXX:4:1221:7191:48301,ST-E00206:201:H5L57ALXX:4:2108:17544:20911,ST-E00206:201:H5L57ALXX:4:2110:29288:52081,ST-E00206:209:H5CCCALXX:5:2219:16143:34061,ST-E00206:201:H5L57ALXX:4:2202:26872:28769,ST-E00206:209:H5CCCALXX:5:2219:14266:64914,ST-E00206:201:H5L57ALXX:4:2223:27877:42148,ST-E00206:209:H5CCCALXX:5:1109:9140:15812,ST-E00206:209:H5CCCALXX:5:1122:25766:48617,ST-E00206:209:H5CCCALXX:5:1214:4846:42236,
chr1:180041138|180048705	chr1	180041138	180048705	4	1_1_1	19	0.296	exon	uc001gnt.4,	+	ST-E00206:201:H5L57ALXX:4:1120:22487:50358,ST-E00206:209:H5CCCALXX:5:1208:22761:65670,ST-E00206:209:H5CCCALXX:5:2105:20275:68712,ST-E00206:209:H5CCCALXX:5:2117:31145:36944,
chr1:180062220|180065272	chr1	180062220	180065272	10	5_4_0	13	0.606	exon	uc001gnt.4,	+	ST-E00206:209:H5CCCALXX:5:2112:23238:21948,ST-E00206:201:H5L57ALXX:4:1124:17707:42077,ST-E00206:201:H5L57ALXX:4:2103:21198:43519,ST-E00206:201:H5L57ALXX:4:2116:31937:14863,ST-E00206:201:H5L57ALXX:4:2204:13829:14230,ST-E00206:209:H5CCCALXX:5:1222:12256:60449,ST-E00206:209:H5CCCALXX:5:1107:13718:12947,ST-E00206:201:H5L57ALXX:4:2110:25421:30439,ST-E00206:201:H5L57ALXX:4:2224:3781:46719,ST-E00206:209:H5CCCALXX:5:1113:21868:30545,
chr1:180075022|180084178	chr1	180075022	180084178	3	3_3_0	11	0.353	exon	uc057nre.1,uc001gnt.4,	+	ST-E00206:209:H5CCCALXX:5:2205:7364:14599,ST-E00206:209:H5CCCALXX:5:2208:13819:40021,ST-E00206:201:H5L57ALXX:4:1203:2695:11013,
chr1:180078463|180080661	chr1	180078463	180080661	5	1_1_1	31	0.244	exon	uc057nre.1,uc001gnt.4,	+	ST-E00206:209:H5CCCALXX:5:2204:7617:2522,ST-E00206:209:H5CCCALXX:5:2204:7729:2926,ST-E00206:209:H5CCCALXX:5:2124:32120:45172,ST-E00206:209:H5CCCALXX:5:1103:29146:44556,ST-E00206:209:H5CCCALXX:5:2123:19016:26906,
chr1:180084018|180087717	chr1	180084018	180087717	5	2_2_0	8	0.556	exon	uc057nre.1,uc001gnt.4,	+	ST-E00206:201:H5L57ALXX:4:2110:30049:55614,ST-E00206:201:H5L57ALXX:4:2111:18397:71190,ST-E00206:209:H5CCCALXX:5:1102:3273:15848,ST-E00206:209:H5CCCALXX:5:1102:3212:15988,ST-E00206:209:H5CCCALXX:5:1207:31165:49848,
chr1:180397516|180413471	chr1	180397516	180413471	11	3_3_4	15	0.595	exon	uc001gog.4,uc057nrs.1,	-	ST-E00206:201:H5L57ALXX:4:1104:20955:7409,ST-E00206:201:H5L57ALXX:4:1108:32586:48301,ST-E00206:201:H5L57ALXX:4:1207:5202:28154,ST-E00206:209:H5CCCALXX:5:2215:27775:20911,ST-E00206:201:H5L57ALXX:4:2111:10439:6178,ST-E00206:201:H5L57ALXX:4:2124:26151:63877,ST-E00206:201:H5L57ALXX:4:2208:8277:2821,ST-E00206:209:H5CCCALXX:5:2121:17392:61750,ST-E00206:209:H5CCCALXX:5:2107:21259:15074,ST-E00206:209:H5CCCALXX:5:2121:18011:62119,ST-E00206:209:H5CCCALXX:5:1215:24314:19346,
chr1:180397516|180430262	chr1	180397516	180430262	5	1_0_2	12	0.455	exon	uc001gog.4,uc057nrs.1,	-	ST-E00206:201:H5L57ALXX:4:1123:9576:68466,ST-E00206:201:H5L57ALXX:4:1213:29734:49127,ST-E00206:201:H5L57ALXX:4:2203:18245:40056,ST-E00206:201:H5L57ALXX:4:2218:3842:54454,ST-E00206:209:H5CCCALXX:5:1204:20752:53962,
chr1:180824753|180825344	chr1	180824753	180825344	8	4_3_0	2	0.889	exon	uc001goi.4,uc009wxn.4,	+	ST-E00206:201:H5L57ALXX:4:1113:29795:30035,ST-E00206:209:H5CCCALXX:5:2211:9587:27697,ST-E00206:209:H5CCCALXX:5:2103:6410:56652,ST-E00206:201:H5L57ALXX:4:2215:28202:60291,ST-E00206:209:H5CCCALXX:5:1108:8115:70224,ST-E00206:209:H5CCCALXX:5:2124:19879:45945,ST-E00206:209:H5CCCALXX:5:2109:10713:7813,ST-E00206:201:H5L57ALXX:4:2104:28547:1854,
chr1:180984677|180993425	chr1	180984677	180993425	69	16_9_26	61	0.693	exon	uc010pnr.4,uc021pfr.3,	-	ST-E00206:201:H5L57ALXX:4:1101:17240:48125,ST-E00206:201:H5L57ALXX:4:1101:17331:48565,ST-E00206:201:H5L57ALXX:4:1107:10439:67850,ST-E00206:201:H5L57ALXX:4:1113:9668:6003,ST-E00206:201:H5L57ALXX:4:1114:20823:25745,ST-E00206:209:H5CCCALXX:5:2216:26182:10626,ST-E00206:201:H5L57ALXX:4:1120:32353:9114,ST-E00206:209:H5CCCALXX:5:2220:13342:56493,ST-E00206:201:H5L57ALXX:4:1124:23918:22317,ST-E00206:201:H5L57ALXX:4:1201:27999:18801,ST-E00206:209:H5CCCALXX:5:1223:18194:47387,ST-E00206:201:H5L57ALXX:4:1207:3710:33094,ST-E00206:201:H5L57ALXX:4:1208:14134:39933,ST-E00206:209:H5CCCALXX:5:2213:20224:40355,ST-E00206:201:H5L57ALXX:4:1219:4329:72245,ST-E00206:201:H5L57ALXX:4:1220:4055:6759,ST-E00206:209:H5CCCALXX:5:1219:13423:48371,ST-E00206:209:H5CCCALXX:5:2124:6684:66831,ST-E00206:209:H5CCCALXX:5:2101:25360:52274,ST-E00206:201:H5L57ALXX:4:2105:3588:68536,ST-E00206:209:H5CCCALXX:5:2106:18996:15162,ST-E00206:201:H5L57ALXX:4:2110:12804:20436,ST-E00206:201:H5L57ALXX:4:2114:31957:10187,ST-E00206:201:H5L57ALXX:4:2114:19036:25640,ST-E00206:209:H5CCCALXX:5:2116:30059:14775,ST-E00206:209:H5CCCALXX:5:2116:32028:12736,ST-E00206:201:H5L57ALXX:4:2210:7841:65283,ST-E00206:201:H5L57ALXX:4:2210:7922:65459,ST-E00206:201:H5L57ALXX:4:2213:5131:53065,ST-E00206:201:H5L57ALXX:4:2214:29207:51870,ST-E00206:201:H5L57ALXX:4:2216:31886:44591,ST-E00206:201:H5L57ALXX:4:2216:31917:44644,ST-E00206:201:H5L57ALXX:4:2216:8521:71138,ST-E00206:201:H5L57ALXX:4:2217:15017:37770,ST-E00206:201:H5L57ALXX:4:2220:9302:41128,ST-E00206:201:H5L57ALXX:4:2223:11606:9044,ST-E00206:209:H5CCCALXX:5:2113:29024:54472,ST-E00206:209:H5CCCALXX:5:2216:11038:65407,ST-E00206:209:H5CCCALXX:5:2211:25471:12349,ST-E00206:209:H5CCCALXX:5:2216:26141:14846,ST-E00206:209:H5CCCALXX:5:2124:2451:46420,ST-E00206:209:H5CCCALXX:5:2124:2238:46332,ST-E00206:209:H5CCCALXX:5:2102:22112:22141,ST-E00206:209:H5CCCALXX:5:1119:18508:65055,ST-E00206:209:H5CCCALXX:5:1221:8419:42341,ST-E00206:209:H5CCCALXX:5:1206:24263:26958,ST-E00206:209:H5CCCALXX:5:2213:8338:58796,ST-E00206:209:H5CCCALXX:5:1210:15666:57320,ST-E00206:209:H5CCCALXX:5:2217:15047:12050,ST-E00206:209:H5CCCALXX:5:1212:16204:50622,ST-E00206:209:H5CCCALXX:5:1212:17047:53417,ST-E00206:209:H5CCCALXX:5:1213:19584:20471,ST-E00206:209:H5CCCALXX:5:2104:7232:65916,ST-E00206:201:H5L57ALXX:4:1116:29582:21227,ST-E00206:201:H5L57ALXX:4:1201:18864:73335,ST-E00206:209:H5CCCALXX:5:2114:30150:48547,ST-E00206:201:H5L57ALXX:4:1213:4481:36188,ST-E00206:201:H5L57ALXX:4:2101:18082:23460,ST-E00206:201:H5L57ALXX:4:2101:18072:23477,ST-E00206:201:H5L57ALXX:4:2108:6653:36434,ST-E00206:201:H5L57ALXX:4:2108:6633:36540,ST-E00206:201:H5L57ALXX:4:2111:14662:40108,ST-E00206:209:H5CCCALXX:5:1223:13098:28963,ST-E00206:201:H5L57ALXX:4:2123:9404:21860,ST-E00206:209:H5CCCALXX:5:1107:3821:54384,ST-E00206:209:H5CCCALXX:5:1122:3811:11330,ST-E00206:209:H5CCCALXX:5:1124:31328:12718,ST-E00206:209:H5CCCALXX:5:1124:3070:40249,ST-E00206:209:H5CCCALXX:5:1201:10774:8446,
chr1:184706643|184711877	chr1	184706643	184711877	4	3_2_0	51	0.136	exon	uc057nxa.1,uc010pok.3,	-	ST-E00206:209:H5CCCALXX:5:2111:30770:20612,ST-E00206:209:H5CCCALXX:5:2103:4958:36698,ST-E00206:201:H5L57ALXX:4:1218:10348:66286,ST-E00206:209:H5CCCALXX:5:1219:29156:30826,
chr1:184732837|184749592	chr1	184732837	184749592	8	3_0_3	20	0.444	exon	uc010pok.3,uc057nxa.1,	-	ST-E00206:201:H5L57ALXX:4:1117:30729:10064,ST-E00206:201:H5L57ALXX:4:1117:29765:10749,ST-E00206:209:H5CCCALXX:5:2124:24284:22845,ST-E00206:201:H5L57ALXX:4:1210:11474:53188,ST-E00206:201:H5L57ALXX:4:2104:14418:69257,ST-E00206:209:H5CCCALXX:5:1115:11170:48653,ST-E00206:209:H5CCCALXX:5:1210:21838:5633,ST-E00206:209:H5CCCALXX:5:2205:31450:36663,
chr1:184884633|184899309	chr1	184884633	184899309	5	2_2_0	16	0.385	exon	uc001gra.5,	-	ST-E00206:201:H5L57ALXX:4:1101:10723:7972,ST-E00206:201:H5L57ALXX:4:1212:17788:58568,ST-E00206:201:H5L57ALXX:4:1224:13697:11505,ST-E00206:201:H5L57ALXX:4:1224:13779:12068,ST-E00206:201:H5L57ALXX:4:2210:23177:70294,
chr1:185145439|185151935	chr1	185145439	185151935	4	2_1_0	0	1	exon	uc001grf.5,uc057nxq.1,	-	ST-E00206:201:H5L57ALXX:4:2202:20346:49356,ST-E00206:201:H5L57ALXX:4:2202:20295:49373,ST-E00206:209:H5CCCALXX:5:2215:2400:55614,ST-E00206:209:H5CCCALXX:5:1201:10673:4016,
chr1:185174372|185175113	chr1	185174372	185175113	4	2_2_0	6	0.571	exon	uc001grg.5,uc001grh.5,	+	ST-E00206:201:H5L57ALXX:4:1204:21604:47176,ST-E00206:201:H5L57ALXX:4:1204:21036:47281,ST-E00206:209:H5CCCALXX:5:2203:31044:70382,ST-E00206:209:H5CCCALXX:5:1203:29633:68219,
chr1:185214507|185231708	chr1	185214507	185231708	111	32_22_2	10	0.957	exon	uc001grg.5,uc001grh.5,	+	ST-E00206:201:H5L57ALXX:4:1106:26080:43537,ST-E00206:201:H5L57ALXX:4:1106:26101:43537,ST-E00206:201:H5L57ALXX:4:1110:12023:72597,ST-E00206:201:H5L57ALXX:4:1111:12936:35362,ST-E00206:201:H5L57ALXX:4:1114:17940:24691,ST-E00206:209:H5CCCALXX:5:2102:21056:24884,ST-E00206:201:H5L57ALXX:4:1115:12104:54665,ST-E00206:201:H5L57ALXX:4:1116:30922:62646,ST-E00206:201:H5L57ALXX:4:1118:23472:37471,ST-E00206:201:H5L57ALXX:4:1118:5618:45928,ST-E00206:201:H5L57ALXX:4:1118:26953:59957,ST-E00206:201:H5L57ALXX:4:1118:26902:59974,ST-E00206:201:H5L57ALXX:4:1120:28760:47053,ST-E00206:209:H5CCCALXX:5:2209:5861:41111,ST-E00206:201:H5L57ALXX:4:1201:18133:72069,ST-E00206:209:H5CCCALXX:5:2211:13971:34905,ST-E00206:201:H5L57ALXX:4:1203:32231:33164,ST-E00206:201:H5L57ALXX:4:1205:32150:54155,ST-E00206:201:H5L57ALXX:4:1205:32160:54173,ST-E00206:201:H5L57ALXX:4:1206:12855:24357,ST-E00206:209:H5CCCALXX:5:2211:13352:34395,ST-E00206:201:H5L57ALXX:4:1208:18975:36715,ST-E00206:201:H5L57ALXX:4:1208:24933:48828,ST-E00206:209:H5CCCALXX:5:2204:22822:10222,ST-E00206:201:H5L57ALXX:4:1221:10125:44099,ST-E00206:201:H5L57ALXX:4:2103:26222:4368,ST-E00206:201:H5L57ALXX:4:2103:26446:4368,ST-E00206:201:H5L57ALXX:4:2104:21777:18362,ST-E00206:209:H5CCCALXX:5:2202:25827:41972,ST-E00206:209:H5CCCALXX:5:2122:31328:2944,ST-E00206:209:H5CCCALXX:5:1224:14215:22528,ST-E00206:209:H5CCCALXX:5:2209:5831:41128,ST-E00206:201:H5L57ALXX:4:2115:28395:40653,ST-E00206:201:H5L57ALXX:4:2115:9028:65125,ST-E00206:209:H5CCCALXX:5:2203:30069:44785,ST-E00206:209:H5CCCALXX:5:2224:12591:13703,ST-E00206:201:H5L57ALXX:4:2124:20792:15250,ST-E00206:209:H5CCCALXX:5:1221:16113:3172,ST-E00206:201:H5L57ALXX:4:2211:2816:40935,ST-E00206:201:H5L57ALXX:4:2212:22842:41831,ST-E00206:209:H5CCCALXX:5:2106:25147:67446,ST-E00206:209:H5CCCALXX:5:1102:8561:71806,ST-E00206:209:H5CCCALXX:5:1102:8348:72491,ST-E00206:209:H5CCCALXX:5:1102:9160:72913,ST-E00206:209:H5CCCALXX:5:2203:27694:48301,ST-E00206:209:H5CCCALXX:5:2212:24883:21174,ST-E00206:209:H5CCCALXX:5:2103:4187:19575,ST-E00206:209:H5CCCALXX:5:1117:19239:37524,ST-E00206:209:H5CCCALXX:5:1118:31155:27187,ST-E00206:209:H5CCCALXX:5:1118:31308:27662,ST-E00206:209:H5CCCALXX:5:1118:29887:28611,ST-E00206:209:H5CCCALXX:5:1118:29897:28699,ST-E00206:209:H5CCCALXX:5:1120:21848:38245,ST-E00206:209:H5CCCALXX:5:1121:4319:27750,ST-E00206:209:H5CCCALXX:5:1121:29694:68747,ST-E00206:209:H5CCCALXX:5:1122:23553:50446,ST-E00206:209:H5CCCALXX:5:2213:5222:33639,ST-E00206:209:H5CCCALXX:5:1204:6481:23513,ST-E00206:209:H5CCCALXX:5:1223:28598:44064,ST-E00206:209:H5CCCALXX:5:1208:18651:17131,ST-E00206:209:H5CCCALXX:5:2209:12012:70399,ST-E00206:209:H5CCCALXX:5:1211:20163:64756,ST-E00206:209:H5CCCALXX:5:1213:22680:37401,ST-E00206:209:H5CCCALXX:5:1213:21756:38016,ST-E00206:209:H5CCCALXX:5:1213:21533:38192,ST-E00206:209:H5CCCALXX:5:1216:14489:29824,ST-E00206:209:H5CCCALXX:5:1217:26801:72456,ST-E00206:209:H5CCCALXX:5:1219:26273:35678,ST-E00206:201:H5L57ALXX:4:1106:29105:56124,ST-E00206:201:H5L57ALXX:4:1111:1741:66954,ST-E00206:201:H5L57ALXX:4:1118:25329:48670,ST-E00206:201:H5L57ALXX:4:1119:31947:16041,ST-E00206:201:H5L57ALXX:4:1203:15504:17026,ST-E00206:209:H5CCCALXX:5:2102:16072:34114,ST-E00206:201:H5L57ALXX:4:1209:30577:71050,ST-E00206:201:H5L57ALXX:4:1210:25258:32584,ST-E00206:201:H5L57ALXX:4:1210:3821:50622,ST-E00206:201:H5L57ALXX:4:1222:27928:39915,ST-E00206:201:H5L57ALXX:4:2104:16570:60959,ST-E00206:201:H5L57ALXX:4:2108:2959:22335,ST-E00206:209:H5CCCALXX:5:2122:25918:35731,ST-E00206:201:H5L57ALXX:4:2121:30759:48301,ST-E00206:201:H5L57ALXX:4:2121:30739:48442,ST-E00206:201:H5L57ALXX:4:2212:9790:41445,ST-E00206:201:H5L57ALXX:4:2212:9840:41462,ST-E00206:201:H5L57ALXX:4:2213:25055:58181,ST-E00206:201:H5L57ALXX:4:2213:7161:62172,ST-E00206:201:H5L57ALXX:4:2217:11251:13351,ST-E00206:201:H5L57ALXX:4:2219:27004:17711,ST-E00206:201:H5L57ALXX:4:2219:27339:17799,ST-E00206:209:H5CCCALXX:5:1101:27633:18133,ST-E00206:209:H5CCCALXX:5:2102:15788:34149,ST-E00206:209:H5CCCALXX:5:1109:3700:5581,ST-E00206:209:H5CCCALXX:5:1114:21807:69503,ST-E00206:209:H5CCCALXX:5:2218:32079:8077,ST-E00206:209:H5CCCALXX:5:2215:6724:13914,ST-E00206:209:H5CCCALXX:5:1118:10358:29912,ST-E00206:209:H5CCCALXX:5:1118:10531:29929,ST-E00206:209:H5CCCALXX:5:1118:9911:32022,ST-E00206:209:H5CCCALXX:5:1119:10287:10380,ST-E00206:209:H5CCCALXX:5:1203:15189:4069,ST-E00206:209:H5CCCALXX:5:1208:31013:14705,ST-E00206:209:H5CCCALXX:5:1208:31216:14916,ST-E00206:209:H5CCCALXX:5:2102:15616:34764,ST-E00206:209:H5CCCALXX:5:1211:3689:59394,ST-E00206:209:H5CCCALXX:5:2102:16123:34131,ST-E00206:209:H5CCCALXX:5:2111:27938:70065,ST-E00206:209:H5CCCALXX:5:1218:30942:19856,ST-E00206:209:H5CCCALXX:5:1218:17311:55737,ST-E00206:209:H5CCCALXX:5:1218:16813:58287,ST-E00206:209:H5CCCALXX:5:1218:16854:58322,
chr1:186390711|186391791	chr1	186390711	186391791	13	1_2_2	5	0.839	exon	uc057nzd.1,uc057nzb.2,uc057nzc.2,	+	ST-E00206:209:H5CCCALXX:5:2103:16468:44504,ST-E00206:201:H5L57ALXX:4:2211:11271:63947,ST-E00206:209:H5CCCALXX:5:2108:5090:24058,ST-E00206:209:H5CCCALXX:5:2103:16326:44152,ST-E00206:201:H5L57ALXX:4:1211:15809:6759,ST-E00206:201:H5L57ALXX:4:1211:15758:7655,ST-E00206:201:H5L57ALXX:4:1222:21391:45049,ST-E00206:201:H5L57ALXX:4:1223:31774:45172,ST-E00206:201:H5L57ALXX:4:2114:6704:24075,ST-E00206:209:H5CCCALXX:5:2205:20772:20700,ST-E00206:201:H5L57ALXX:4:2122:8998:71577,ST-E00206:201:H5L57ALXX:4:2122:8947:71735,ST-E00206:201:H5L57ALXX:4:2216:12307:15426,
